"Reference","Value","Footprint","LCSC Part","Qty"
"BT1","MY-1220-03","easyeda2kicad:BAT-SMD_MY-1220-03","C964818","1"
"C1-C87, C89-C91, C93, C94, C99-C108","100nF","easyeda2kicad:C0402","C1525","102"
"C88","1000uF","easyeda2kicad:CAP-SMD_BD10.0-L10.3-W10.3-LS11.3-FD","C310843","1"
"C92","4.7uF","easyeda2kicad:C0402","C368809","1"
"C95","100n","easyeda2kicad:C0402","C1525","1"
"C96, C97","10uF","easyeda2kicad:C0402","C315248","2"
"C98","22uF","easyeda2kicad:C0805","C602037","1"
"D1-D86","WS2812B-MINI","easyeda2kicad:LED-SMD_4P-L3.5-W3.5-TL_WS2812B","C527089","86"
"D87","SS84","easyeda2kicad:SMC_L6.9-W5.9-LS7.9-RD","C2943761","1"
"D88","LESD","easyeda2kicad:SOD-523_L1.2-W0.8-LS1.6-BI","C383211","1"
"D89-D91","~","easyeda2kicad:SOD-523_L1.2-W0.8-LS1.6-BI","C383211","3"
"F1","SMD1206-600-6V","easyeda2kicad:F1206","C2760310","1"
"H1, H2","MountingHole","MountingHole:MountingHole_3.7mm_Pad_TopBottom","","2"
"J1","DC-005H-D025","easyeda2kicad:DC-IN-TH_G-SWITCH_DC-005H-D025","C5353839","1"
"J2","TYPE-C 16PIN 2MD(073)","easyeda2kicad:USB-C-SMD_TYPE-C-6PIN-2MD-073","C2765186","1"
"J3","X1311WVS-03J-C40D42R2","easyeda2kicad:HDR-SMD_3P-P1.27-V-M-LS4.2_X1311WVS-03J-C40D42R2","C5243526","1"
"J4, J5","X1311FVS-04-C43D35R2","easyeda2kicad:HDR-SMD_4P-P1.27-V-F-LS4.5_R2","C2881513","2"
"LED1, LED3, LED4","0805G (Green)","easyeda2kicad:LED0805-R-RD","C2297","3"
"LED2","FC-2012HRK (RED)","easyeda2kicad:LED0805-R-RD","C84256","1"
"Q1","2N7002T-7-F","easyeda2kicad:SOT-523-3_L1.6-W0.8-P1.00-LS1.6-BR","C139445","1"
"Q2, Q3","SS8050-G","easyeda2kicad:SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR","C164886","2"
"R1","0402WGF4700TCE","easyeda2kicad:R0402","C25117","1"
"R2, R4, R16","5.1k","easyeda2kicad:R0402","C25905","3"
"R3, R10, R11, R20, R21","0","easyeda2kicad:R0402","C17168","5"
"R5","1k","easyeda2kicad:R0402","C11702","1"
"R6, R8","27R","easyeda2kicad:R0402","C138021","2"
"R7, R9, R12, R15, R18, R19, R22","10k","easyeda2kicad:R0402","C25744","7"
"R13, R14","2.2k","easyeda2kicad:R0402","C25879","2"
"R17","560","easyeda2kicad:R0402","C25126","1"
"SW1-SW6","PTS645SH50SMTR92LFS","easyeda2kicad:KEY-SMD_4P-L6.0-W6.0-P4.50-LS9.0","C221869","6"
"U1","ESP32-WROOM-32E(8MB)","easyeda2kicad:WIFI-SMD_ESP32-WROOM-32E","C701342","1"
"U2","SN74LVC1T45DCKR","easyeda2kicad:SC-70-6_L2.2-W1.3-P0.65-LS2.2-BR","C9382","1"
"U3","FT231XQ-R","easyeda2kicad:QFN-20_L4.0-W4.0-P0.50-BL-EP2.2","C132159","1"
"U4","AMS1117-3.3_C347222","easyeda2kicad:SOT-223-4_L6.5-W3.5-P2.30-LS7.0-BR","C347222","1"
"U5","HDC1080DMBR","easyeda2kicad:SENSOR-SMD_HDC1080DMBR","C82227","1"
"U6","DS3231SN#","easyeda2kicad:SOIC-16_L10.3-W7.5-P1.27-LS10.3-BL","C9866","1"
"U7","OPT3001DNPR","easyeda2kicad:USON6_L2.1-W2.1-P0.65-BL-EP","C90462","1"
"U8","24LC256T-I/SN SOP-8","easyeda2kicad:SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL","C5458","1"
